Photon Energy (eV),Absorption Intensity
20.004,0.979656617
20.0725,0.98022132
20.141,0.980855293
20.2095,0.981571378
20.278,0.982234694
20.3465,0.982800524
20.415,0.983282477
20.4835,0.98360407
20.552,0.983868475
20.6206,0.984229764
20.6891,0.984603285
20.7576,0.984941156
20.8261,0.985284827
20.8946,0.985716892
20.9631,0.986212056
21.0316,0.986726521
21.1001,0.987211944
21.1686,0.987589167
21.2371,0.987869054
21.3056,0.988186613
21.3741,0.988592051
21.4426,0.989019863
21.5111,0.989348728
21.5796,0.989635095
21.6482,0.989915558
21.7167,0.990141407
21.7852,0.990169773
21.8537,0.990074712
21.9222,0.99008969
21.9907,0.990086291
22.0592,0.989977371
22.1277,0.989872911
22.1962,0.989860637
22.2647,0.989888378
22.3332,0.989974729
22.4017,0.990203396
22.4702,0.990397131
22.5387,0.990420156
22.6072,0.990352875
22.6758,0.990320776
22.7443,0.990402474
22.8128,0.990499803
22.8813,0.990497281
22.9498,0.990451721
23.0183,0.990515177
23.0868,0.990703079
23.1553,0.990866753
23.2238,0.990968647
23.2923,0.99114156
23.3608,0.991368452
23.4293,0.991478762
23.4978,0.991503635
23.5663,0.99166214
23.6349,0.991916357
23.7034,0.992114324
23.7719,0.992225624
23.8404,0.992345182
23.9089,0.992564021
23.9774,0.992800537
24.0459,0.992976757
24.1144,0.993060274
24.1829,0.993168781
24.2514,0.993320859
24.3199,0.993393384
24.3884,0.993328581
24.4569,0.993207643
24.5254,0.993212339
24.5939,0.993311212
24.6625,0.993334884
24.731,0.993223539
24.7995,0.993077406
24.868,0.993045254
24.9365,0.993057146
25.005,0.993007728
25.0735,0.992829578
25.142,0.992523556
25.2105,0.992122374
25.279,0.991680068
25.3475,0.99125023
25.416,0.990859377
25.4845,0.990401961
25.553,0.98970764
25.6215,0.988795701
25.6901,0.987976099
25.7586,0.987464725
25.8271,0.987098895
25.8956,0.986777438
25.9641,0.98654208
26.0326,0.986220263
26.1011,0.985645024
26.1696,0.984812448
26.2381,0.984064405
26.3066,0.983600258
26.3751,0.983307942
26.4436,0.983099914
26.5121,0.982745043
26.5806,0.982208659
26.6492,0.981430781
26.7177,0.980418695
26.7862,0.979423641
26.8547,0.978232328
26.9232,0.976857732
26.9917,0.975609311
27.0602,0.974702593
27.1287,0.973817204
27.1972,0.972981816
27.2657,0.971958906
27.3342,0.970642676
27.4027,0.969203617
27.4712,0.967329576
27.5397,0.965623952
27.6082,0.964356821
27.6768,0.96307264
27.7453,0.961213414
27.8138,0.958672463
27.8823,0.956410367
27.9508,0.954930361
28.0193,0.953406874
28.0878,0.951077346
28.1563,0.948401844
28.2248,0.946936197
28.2933,0.947037593
28.3618,0.948379007
28.4303,0.950325522
28.4988,0.952216484
28.5673,0.953852681
28.6358,0.954844634
28.7044,0.954653551
28.7729,0.953989796
28.8414,0.953373903
28.9099,0.952457746
28.9784,0.951372937
29.0469,0.950724635
29.1154,0.950368727
29.1839,0.950286585
29.2524,0.950877168
29.3209,0.95237156
29.3894,0.954051237
29.4579,0.955429434
29.5264,0.956024568
29.5949,0.955915455
29.6635,0.956126552
29.732,0.956683207
29.8005,0.957361053
29.869,0.958207261
29.9375,0.95916191
30.006,0.960152184
30.0745,0.960802348
30.143,0.961330627
30.2115,0.961807667
30.28,0.962461922
30.3485,0.963473643
30.417,0.964712901
30.4855,0.966021755
30.554,0.967176924
30.6225,0.968214463
30.6911,0.969244103
30.7596,0.970212306
30.8281,0.970811011
30.8966,0.970972685
30.9651,0.970828179
31.0336,0.970654521
31.1021,0.97045455
31.1706,0.970049516
31.2391,0.969501409
31.3076,0.969143365
31.3761,0.969185249
31.4446,0.969233097
31.5131,0.969157219
31.5816,0.969305484
31.6501,0.969783358
31.7187,0.970383327
31.7872,0.97103621
31.8557,0.971581513
31.9242,0.971922293
